page,Tên khác,Địa chỉ,Tọa độ,Lễ hội,Phân loại,Ngày công nhận,Quyết định,Thành lập,Quốc gia,Tôn giáo,Tông phái,Khởi lập,Quản lý,Trụ trì,Trang web,Tôn kính,Người sáng lập,Tên cũ,Dạng,Phong cách,Địa điểm,Thành phố,Khởi công,Hoàn thành,Khánh thành,Trùng tu,Diện tích sàn,Kích thước,Đường kính,Kiến trúc sư,Chủ đầu tư,Hệ thống kết cấu,Kỹ sư,Tỉnh,Kiểu dáng kiến trúc,Tên chính thức,Tiêu chuẩn,Tham khảo,Công nhận,Diện tích,Vùng đệm,"Vị trí Tháp Đồng Dương trên bản đồ Việt Nam


Tháp Đồng Dương",Xây dựng,Vị trí,Tình trạng,Thờ,Phân cấp,Website,Thầy,Công tích,Một phần của,Khám phá,Thánh tích,Được thờ vì,Tuyến đường,Bắc qua,Tên tự,Di tích,Mở rộng,"Mã IATA-

Mã ICAO-",Mã IATA-,Kiểu sân bay,Độ cao,"Hướng

Chiều dài

Bề mặt


m

ft


02

2001

6565

Asphalt",Hướng,m,02,Thờ phụng,Tôn tạo,Quá trình xây dựng,Hồ sơ tham khảo,Vùng,Thị xã,Tổng cộng,Mật độ,Mã hành chính,Khu vực,Kiểu hồ,Nguồn cấp nước chính,Nguồn thoát đi chính,Lưu vực,Quốc gia lưu vực,Độ dài tối đa,Độ rộng tối đa,Chu vi,Diện tích bề mặt,Độ sâu trung bình,Các đảo,Khu dân cư,Bao gồm,Vùng được công nhận,Chưởng quản,Chi phí xây dựng,Chi phí trùng tu,Chiều cao,Kích thước khác,Ban quản lý,Sử dụng,Sở hữu,Phá dỡ,Phá hủy,Nhà thầu chính,Toạ độ,Thành phố gần nhất,Diện tích ban đầu,Diện tích hiện nay,Diện tích mở rộng,Diện tích sau mở rộng,Người thành lập,Xây dựng bởi,Vật liệu,Xây dựng cho,Mục đích ban đầu,Tổng mức đầu tư,Giai đoạn trùng tu,Mục đích hiện tại,Phong cách kiến trúc,Thời gian tham quan,Lượng tham quan,Cơ quan quản lý,Loại,Ngày nhận danh hiệu,Tên chính xác,Vị thần chính,Người xây dựng,Xây mới,Lễ hội chính,Chữ Hán,Tên khác,Tọa độ,Vị trí,Xây dựng,Đời vua,Tình trạng,Chức năng,Kiểm soát bởi,Xây dựng bởi,Trận đánh/chiến tranh,Sự kiện,Chỉ huy hiện tại,Đơn vị đồn trú,Chủ sở hữu,Số cửa vào,"Vị trí Tháp Hòa Lai trên bản đồ Việt Nam


Tháp Hòa Lai",Sự kiện,Núi,Phối thờ,Đời vua,Sử dụng bởi,Người thiết kế,Năm thiết kế,Giai đoạn sản xuất,Số lượng chế tạo,Khối lượng,Chiều dài,Chiều rộng,Bệ pháo,Xoay ngang,Ngày xây dựng,Chức năng,Phá hủy,Dài,Cao,Kiểu,Vùng UNESCO,Rộng,Tác giả,Ngôn ngữ,Thể loại,Kiểu sách,Một phần của,Nguyên liệu,Thành lập,Tượng Chúa Kitô Vua,Chủ quản,Thiết kế,Chịu trách nhiệm giai đoạn 1,Chịu trách nhiệm giai đoạn 2,Điện thoại,Loại đền,"Vị trí Tháp Po Klong Garai trên bản đồ Việt Nam


Tháp Po Klong Garai",Được xây dựng,Sửa chữa lại,Bộ sưu tập,Giám đốc,Ngân quỹ,Loại bệnh viện,Giường,Mở cửa,Tên chùa:,Địa chỉ:,Người cúng đất:,Người xây dựng:,Năm xây dựng:,Năm trùng tu:,Trụ trì tiền nhiệm:,Trụ trì đương nhiệm:,Pháp môn:,Chủ trương:,Trường phái,Kỹ sư xây dựng,Tọa độ địa lý,Người sáng tạo,Bề mặt khu vực,Nghi thức,Hướng mặt tiền,Dạng chỗ ngồi,Số chỗ ngồi,Nhà thiết kế khác,Mã trường,Hiệu trưởng,Phó hiệu trưởng,Khẩu hiệu,Nhân viên,Giáo viên,Cấp,Bài hát,Số học sinh,Khuôn viên,Diện tích mặt nước,Diện tích khuôn viên,Phụ trách,Chỉ huy đã qua,Diện tích quy hoạch và tôn tạo,Diện tích bảo vệ,Ngày,Bắt đầu,Kết thúc,Tần suất,Năm sự kiện,Sự kiện quan trọng,Cấp sân ga,Đã mở,Đã đóng,Thượng nguồn,Cửa sông,Độ dài,Kiểu cầu,Số nhịp,Đã thông xe,Năm thánh hiến,Nhà đầu tư,Giáo phái,Giáo hội hoặc trạng thái tổ chức,Lãnh đạo,Số tầng,Tên thường gọi,Tên theo mật danh chiến trường,Tên theo địa danh,"Vị trí Tháp Liễu Cốc trên bản đồ Việt Nam


Tháp Liễu Cốc",Tình trạng di sản,Đóng cửa,Tiêu chí,Nam,Bắt đầu xây dựng,Nổi tiếng vì,"Vị trí Tháp Dương Long trên bản đồ Việt Nam


Tháp Dương Long",Cao độ bề mặt,"Vị trí Tháp Nhạn trên bản đồ Việt Nam


Tháp Nhạn",Tổng số đảo,Đảo chính,Địa phương,Dân số,Độ sâu,Độ dài,Địa chất,Danh sách cửa vào,Nguy hiểm,Khảo sát hang động,Huyện,Trụ sở UBND,Khe Sanh Vị trí thị trấn Khe Sanh trên bản đồ Việt Nam,"Vị trí Tháp Bánh Ít trên bản đồ Việt Nam


Tháp Bánh Ít","Vị trí Tháp Phú Lốc trên bản đồ Việt Nam


Tháp Phú Lốc",Tuyến,E-mail
Chùa Ngọc Hoàng,,"73 Mai Thị Lựu, Đa Kao, Quận 1, Thành phố Hồ Chí Minh",,,Di tích kiến trúc nghệ thuật (1994),,,,Việt Nam,Phật giáo,,Đầu thế kỷ 20,Giáo hội Phật giáo Việt Nam,Hòa thượng Thích Vĩnh Khương,,,Lưu Đạo Nguyên (Lưu Minh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phước Hải Tự,,,,,,,,,,,Ngọc Hoàng Thượng Đế,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028 3820 3102,,,,,,,,,,,,,,,,,,,,,Minh Sư Đạo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cột cờ Thủ Ngữ,,,"10°46′12″B 106°42′23″Đ﻿ / ﻿10,76990833°B 106,7063109°Đ﻿ / 10.76990833; 106.7063109",,,,,,Việt Nam,,,,,,,,,,,,"Số 2, đường Tôn Đức Thắng, phường Nguyễn Thái Bình, Quận 1",,,,,,,,,,,,,,,,,,,,,,,,Hoạt động,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Địa đạo Củ Chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinh Độc Lập,Phủ Đầu Rồng,,"10°46′38″B 106°41′44″Đ﻿ / ﻿10,777108°B 106,695441°Đ﻿ / 10.777108; 106.695441",,,,,,,,,,,,,,,,Dinh Tổng thống,,"135 Nam Kỳ khởi nghĩa, phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,1 tháng 7 năm 1962,31 tháng 10 năm 1966,,,120.000 m²,,,Ngô Viết Thụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phan Văn Điển,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Hà Chương,,,,Vía Bà Thiên Hậu (23/3 ÂL)Cúng cô hồn (9/7 ÂL),,,,,Việt Nam,,,,,,,,,,,Miếu vũ Phúc Kiến,,,,1809,,,,,,,,,,,,,,,,,,,,"Chợ LớnQuận 5, Thành phố Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,,Thiên Hậu Thánh mẫuNgọc Hoàng Thượng đế,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10°45′12″B 106°39′29″Đ﻿ / ﻿10,753202°B 106,657939°Đ﻿ / 10.753202; 106.657939",Cộng đồng người Hoa ở Chợ Lớn,2400 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Lệ Châu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Nghĩa An,,,,,,,,,Việt Nam,,,,,,,,,,,Phong cách Triều Châu,,,,1819 hoặc 1820,,,,,,,,,,,,,,,,,,,,"Chợ LớnPhường 11, Quận 5, Thành phố Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,,Quan VũTả: Thiên Hậu nguyên quânHữu: Tài Bạch tinh quân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10°45′13″B 106°39′44″Đ﻿ / ﻿10,753657°B 106,662113°Đ﻿ / 10.753657; 106.662113",Cộng đồng người Tiều ở Chợ Lớn,,Cúng Quan Đế (24/6 ÂL)Rằm tháng giêng,Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Nhị Phủ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Ôn Lăng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Phước An,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Quảng Triệu (Thành phố Hồ Chí Minh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Quần Tân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Quỳnh Phủ (Thành phố Hồ Chí Minh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Tam Sơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hội quán Tuệ Thành,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Láng Le – Bàu Cò,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngã ba Giồng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà hát Thành phố Hồ Chí Minh,Nhà hát Thành phố,"Số 7 Công trường Lam Sơn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","10°46′36″B 106°42′12″Đ﻿ / ﻿10,7767525°B 106,7032824°Đ﻿ / 10.7767525; 106.7032824",,,,,,,,,,,,,,,Thời Việt Nam Cộng hòa:Nhà hát Sài GònTòa nhà Quốc hộiHạ nghị viện,,Flamboyant,,,1898,,,"1955, 1998, 2007-2009",,,,"Félix Olivier, Ernest Guichard, Eugène Ferret",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 tỷ VND (1998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 tháng 1 năm 1900; 123 năm trước (1900-01-01),,,,,,,,,,,,,,,,,,Ghế đệm,559 (1900)500 (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trụ sở Tòa án nhân dân Thành phố Hồ Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trụ sở Ủy ban nhân dân Thành phố Hồ Chí Minh,,"86 Lê Thánh Tôn, phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","10°46′36″B 106°42′03″Đ﻿ / ﻿10,776532°B 106,700828°Đ﻿ / 10.776532; 106.700828",,,,,,Việt Nam,,,,,,,,,"Chính thức:
Tòa thị sảnh (1909-đời vua Bảo Đại)Tòa đô sảnh (đời vua Bảo Đại-1959)Tòa đô chánh (1959-1975)
Không chính thức:

Dinh xã TâyDinh đốc Lý",Tòa thị chính,Rococo,đầu đường Nguyễn Huệ Quận 1,Thành phố Hồ Chí Minh,1898,1909,1909; 114 năm trước (1909),,7500 m2,,,Femand Gardè,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,5 triệu franc[1]",,30 mét,,,Cơ quan hành chính thành phố trực thuộc trung ương,Ủy ban nhân dân Thành phố Hồ Chí MinhHội đồng nhân dân Thành phố Hồ Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điêu khắc[2]:Ruffier (1898-1907)Bonnet (1907-1909),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trường Trung học phổ thông chuyên Lê Hồng Phong, Thành phố Hồ Chí Minh",,,"10°45′50″B 106°40′54,5″Đ﻿ / ﻿10,76389°B 106,66667°Đ﻿ / 10.76389; 106.66667",,,,,28 tháng 11 năm 1927; 95 năm trước (1927-11-28),,,,,,,,,,Collège de Cochinchine[4]Trường Trung học Pétrus Trương Vĩnh Ký,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.thpt-lehongphong-tphcm.edu.vn/vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trung học Phổ thông chuyên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,Phạm Thị Bé Hiền[1],"Trương Thị Lệ Hà[2]
Bùi Thị Bảo Ngọc

Trần Bảo Ngọc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trường Trung học phổ thông chuyên Trần Đại Nghĩa,Trần Chuyên,,"10°46′45″B 106°42′5,3″Đ﻿ / ﻿10,77917°B 106,7°Đ﻿ / 10.77917; 106.70000{{#coordinates:}}: một trang không thể chứa nhiều hơn một thẻ chính
Cơ sở 1
10°47′1,3″B 106°44′18″Đ﻿ / ﻿10,78333°B 106,73833°Đ﻿ / 10.78333; 106.73833{{#coordinates:}}: một trang không thể chứa nhiều hơn một thẻ chính

Cơ sở 2",,,,,2000; 23 năm trước (2000)1874; 149 năm trước (1874) (trường La San Taberd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://trandainghia.edu.vn/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trung học Phổ thông chuyên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nguyễn Minh,"Trần Ngọc Huy
Trần Thị Hồng Thủy
Phạm Thanh Yên

Trịnh Đình Thảo","Học để biết, học để làm, học để tự khẳng định mình, học để cùng chung sống",300 (tính cả giáo viên) [1],168,6-12,Hành khúc Trần Đại Nghĩa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trường Trung học phổ thông Lê Quý Đôn, Thành phố Hồ Chí Minh",Collège Chasseloup-Laubat,,"10°46′46,3″B 106°41′40,2″Đ﻿ / ﻿10,76667°B 106,68333°Đ﻿ / 10.76667; 106.68333",,,,,1874; 149 năm trước (1874),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://thpt-lequydon-hcm.edu.vn/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trung học Phổ thông,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bùi Minh Tâm (2022) [2],"Nguyễn Văn Gia Thụy [3]
Lưu Nguyễn Bỉnh Khoa","Không thu các khoản tiền nào khác ngoài học phí; đảm bảo tốt các chương trình của Bộ; thực hiện tốt phương pháp dạy học tiên tiến, phát huy năng khiếu của từng học sinh [1]",,130 giáo viên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trường Trung học phổ thông Marie Curie,,,"10°46′58,5″B 106°41′26,6″Đ﻿ / ﻿10,76667°B 106,68333°Đ﻿ / 10.76667; 106.68333",,,,,1918; 105 năm trước (1918),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trung học phổ thông,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThS. Nguyễn Vân Yên,ThS. Nguyễn Mạnh HùngThS. Nguyễn Trần Khánh BảoThS. Nguyễn Thị Quế Vân,,,khoảng 200 (bao gồm nhân viên),,,Hơn 3000,20.700 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trường Trung học phổ thông Nguyễn Thị Minh Khai,"Trường Nữ sinh Áo Tím, Trường nữ Gia Long",,,,,,,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://thptnguyenthiminhkhai.hcm.edu.vn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trung học Phổ thông,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThS. Nguyễn Thị Hồng Chương,ThS. Trần Văn Thoa ThS. Nguyễn Minh Bạch Lan,,,100 (2016-2017)[1],,,khoảng 1500(năm học 2016-2017)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ao Bà Om,Ao Vuông,,"9°55′3,4″B 106°18′14,7″Đ﻿ / ﻿9,91667°B 106,3°Đ﻿ / 9.91667; 106.30000",,,,Số 921/QĐ-BT,,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 3 km²,,,,"Khóm 3, phường 8, thành phố Trà Vinh, tỉnh Trà Vinh",,,,,,,Quần thể Chùa Âng và Ao Bà Om,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thành phố Trà Vinh,,,,,,,,,,,,Du lịch,,,,,Di tích văn hóa – lịch sử,20 tháng 7 năm 1994 (1994-07-20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 m,300 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.000 – 43.000 m²,> 100.000 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Âng,,"Quốc lộ 53, khóm 4, phường 8, thành phố Trà Vinh, tỉnh Trà Vinh",,,Di tích văn hóa – lịch sử,20 tháng 7 năm 1994 (1994-07-20),Số 921/QĐ-BT,,Việt Nam,Phật giáo,Phật giáo Nam Tông,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9°54′56,99″B 106°18′12,78″Đ﻿ / ﻿9,9°B 106,3°Đ﻿ / 9.90000; 106.30000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
